topic,link,wc,desc,title
KBS,https://n.news.naver.com/mnews/article/138/0002151597?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_KBS.jpg?raw=true,"안 수석전문위원은 여당과 보수언론이 근거도 없이 네이버를 부당하게 공격하고 비판하자, 방통위가 앞장서서 전기통신사업법과 시행령‧고시를 내세워 규제하겠다는 것은 합의제 독립기구로서 용납할 수 없는 처사라며 방송통신위원장과 상임위원 5인 중 2인이 공석인 가운데 김효재 직무대행이 이 같은 보도자료를 발표한 것은 정부‧여당의 포털 장악 하수인이 되겠다는 발상이라고 힐난했다.",野 안정상 “총선 대비 포털 장악” 비판…포털규제 법적근거는?
KBS,https://n.news.naver.com/mnews/article/003/0011955147?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_KBS.jpg?raw=true,방송통신위원회가 5일 전체회의에서 KBS 수신료 분리징수를 위한 방송법 시행령 개정안을 의결했다.방통위는 1994년에 도입된 수신료-전기요금 통합징수방식이 KBS 재원에는 기여했으나 국민들이 수신료를 납부하고 있다는 사실 자체를 알지 못하거나 전기요금과 수신료를 따로 납부하는 선택권도 갖기 어려웠다며 시행령 개정을 통해 불편을 해소하고 전기요금과 수신료를 분리 납부할 수 있는 선택권을 보장할 수 있을 것이라고 밝혔다.,"방통위, 수신료 분리징수 의결…졸속처리 vs KBS 방만경영 결과(종합)"
KBS,https://n.news.naver.com/mnews/article/629/0000225736?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_KBS.jpg?raw=true,KBS·언론계 반발이르면 이달 중순부터 시행방송통신위원회가 5일 정부 과천청사에서 전체회의를 열고 공영 방송의 수신료를 전기요금에서 분리해 징수하는 방송법 시행령 일부 개정명령에 관한 사항을 의결했다.방송통신위원회는 5일 정부 과천청사에서 전체회의를 열고 KBS와 EBS 등 공영 방송의 수신료를 전기요금에서 분리해 징수하는 방송법 시행령 일부개정명령에 관한 사항을 의결했다.,"방통위, 30년 만에 TV수신료·전기요금 분리…언론단체 ""군사작전 같은 '묻지마 개정'"""
KBS,https://n.news.naver.com/mnews/article/003/0011953674?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_KBS.jpg?raw=true,"금강선, 총괄디렉터 임시복귀해 소통 집중금강선 스마일게이트RPG 본부장은 4일 밤 로스트아크 라이브 방송을 개최하고 최근 제기된 중국 검열 논란에 대해 직접 해명했다.금강선 스마일게이트RPG CCO(최고창의력책임자) 겸 본부장은 4일 밤 로스트아크 라이브 방송을 개최하고 최근 제기된 중국 검열 논란에 대해 직접 해명했다.","로스트아크 '中 검열' 해명 나선 금강선 ""고의 아냐…재발방지 약속"""
KBS,https://n.news.naver.com/mnews/article/092/0002297674?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_KBS.jpg?raw=true,"5일 방통위는 전체회의를 열고 TV수신료를 징수 수탁 사업자의 고유 업무와 결합해 고지할 수 없도록 하는 내용의 방송법 시행령 개정안을 의결했다.與 KBS, 스스로 고민할 문제김현 위원이 퇴장한 이후 김효재 직무대행과 이상인 위원만 배석한 가운데 진행된 회의에서 수신료 분리징수 건을 2인 찬성으로 의결했다.",전기요금 고지서에 KBS·EBS 수신료 빠진다...후폭풍 불가피
IAEA,https://n.news.naver.com/mnews/article/023/0003773712?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_IAEA.jpg?raw=true,"IAEA는 ALPS로 처리한 오염수에 100배에 달하는 해수를 섞어 희석 후 방출할 경우 삼중수소의 농도가 1L당 1500Bq(베크렐) 이하로 떨어지는 것으로 확인됐다고 설명했다.Q3. 방류된 오염수, 한국에 영향 미치나최종 보고서에서 IAEA는 처리 후 한국 등 먼바다로 흘러간 오염수에서 삼중수소를 탐지하는 것이 거의 불가능할 것으로 내다봤다.",한국 바다에 삼중수소?… IAEA “日 방류 3㎞ 지나면 영향 없어”
IAEA,https://n.news.naver.com/mnews/article/008/0004908250?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_IAEA.jpg?raw=true,오염수 현재 약 130만톤 중 90만톤 배출기준치 초과다핵종제거설비(ALPS)·K4탱크 등 통해 재정화안전성 문제 없어도 해양방류 모니터링 체계 구축해야일본 후쿠시마 원전 오염수 해양방류 전 핵심 절차. / 그래픽=이지혜 디자인기자국제원자력기구(IAEA)가 전날 일본 후쿠시마 원전 오염수 해양방류 계획이 국제 안전기준에 부합한다고 발표한 가운데 오염수 내 방사능 저감 장치와 방류 절차에 관심이 쏠린다.하지만 IAEA가 오염수 해양방류에 문제가 없다고 결론을 내린 배경은 기준치 초과 오염수도 해양방류 전 각종 설비를 거쳐 배출기준을 만족할 때까지 재정화 과정을 거치기 때문이다.,"'삼중수소' 못 거르는 설비…IAEA ""방류 안전"" 결론 내린 까닭"
IAEA,https://n.news.naver.com/mnews/article/008/0004907771?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_IAEA.jpg?raw=true,"IAEA(국제원자력기구) 해양방류 계획 점검한 최종보고서 발표 임박日오염수 방류로 인한 국내 해역영향 미미하다는게 국내 과학계 중론국민 정서, 과학적 사실 만큼 중요국내법 따라 日수산물 규제 필요ALPS(다핵종제거설비)를 거친 일본 후쿠시마 원전 오염수의 해양방류가 안전성엔 문제 없다는 근거. / 그래픽=조수아 디자인기자일본 후쿠시마 원전 오염수 해양방류 계획에 대한 IAEA(국제원자력기구) 최종보고서 발표가 임박한 가운데 과학계는 안전성엔 문제가 없다는 입장을 견지하고 있다.","후쿠시마 오염수 방류 '초읽기'…""韓영향 미미"" 과학계 주장 근거"
IAEA,https://n.news.naver.com/mnews/article/009/0005153778?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_IAEA.jpg?raw=true,"2019년 이전 저장수 주목韓정부, 방사능 조사지점 현재 92개에서 200개로 확대국제원자력기구(IAEA)는 4일 일본 후쿠시마 원전 오염수 방류 안전성을 평가한 최종 보고서를 일본 정부에 먼저 전달했다.그러나 일본이 내는 분담금 비중은 지난 2012년 12.4%에서 매년 줄어들었으며 오염수 방류 절차를 밟기 시작한 2021년(8.3%)에도 줄어 IAEA 보고서가 일본의 입맛에 맞게 작성될 수 있다는 주장은 무리라는 시각이 우세적이다.",“日 세슘우럭 먹게될거야” “연안 어류가 1000km 오는건 불가능”
IAEA,https://n.news.naver.com/mnews/article/023/0003773710?sid=105,https://github.com/jinn0135/DA28_final_PagePalette/blob/main/news/wordclouds/2023-07-05_pm_IAEA.jpg?raw=true,라파엘 그로시(왼쪽) 국제원자력기구(IAEA) 사무총장이 4일 일본 도쿄의 총리 관저에서 기시다 후미오 총리를 만나 후쿠시마 제1원전 오염수의 해양 방류 계획에 대한 최종 보고서를 전달하고 있다.로이터 연합뉴스국제원자력기구(IAEA)가 4일 최종 보고서를 통해 일본의 후쿠시마 원전 오염수의 해양 방류 계획에 대해 과학적으로 신뢰할 수 있다고 밝혔다.,후쿠시마 방류 30년간 지속적 모니터링 계획
